Sample	location	organism	household_type	household_number	original_group	Time	Status	Group	Group_country	RawReads
PT114H2T1	Portugal	human	infected	P114	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	30.3
PT118D1T0	Portugal	dog	infected	P118	Portugal_dog_infected_pre	pre	healthy	dog_healthy	Portugal_dog_infected	43.6
PT118D1T1	Portugal	dog	infected	P118	Portugal_dog_infected_during	infected	infected	dog_infected	Portugal_dog_infected	22
PT118H1T0	Portugal	human	infected	P118	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	30.5
PT118H1T1	Portugal	human	infected	P118	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	25.7
PT120D1T0	Portugal	dog	infected	P120	Portugal_dog_infected_pre	pre	healthy	dog_healthy	Portugal_dog_infected	20.8
PT120D1T1	Portugal	dog	infected	P120	Portugal_dog_infected_during	infected	infected	dog_infected	Portugal_dog_infected	35
PT120D2T0	Portugal	dog	infected	P120	Portugal_dog_infected_pre	pre	healthy	dog_healthy	Portugal_dog_infected	31
PT120D2T1	Portugal	dog	infected	P120	Portugal_dog_infected_during	infected	infected	dog_infected	Portugal_dog_infected	24.1
PT120D3T0	Portugal	dog	infected	P120	Portugal_dog_infected_pre	pre	healthy	dog_healthy	Portugal_dog_infected	29.9
PT120D3T1	Portugal	dog	infected	P120	Portugal_dog_infected_during	infected	infected	dog_infected	Portugal_dog_infected	33.1
PT120H1T0	Portugal	human	infected	P120	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	30.4
PT120H1T1	Portugal	human	infected	P120	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	24
PT120H2T0	Portugal	human	infected	P120	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	24.2
PT120H2T1	Portugal	human	infected	P120	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	20
PT125D1T0	Portugal	dog	infected	P125	Portugal_dog_infected_pre	pre	healthy	dog_healthy	Portugal_dog_infected	34.5
PT125D1T1	Portugal	dog	infected	P125	Portugal_dog_infected_during	infected	infected	dog_infected	Portugal_dog_infected	21.6
PT125H1T0	Portugal	human	infected	P125	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	22.8
PT125H1T1	Portugal	human	infected	P125	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	33.2
PT125H2T0	Portugal	human	infected	P125	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	34.7
PT125H2T1	Portugal	human	infected	P125	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	21.4
PT131D1T0	Portugal	dog	infected	P131	Portugal_dog_infected_pre	pre	healthy	dog_healthy	Portugal_dog_infected	33.6
PT131D1T1	Portugal	dog	infected	P131	Portugal_dog_infected_during	infected	infected	dog_infected	Portugal_dog_infected	25.7
PT131H1T0	Portugal	human	infected	P131	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	25.6
PT131H1T1	Portugal	human	infected	P131	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	34.7
PT131H2T0	Portugal	human	infected	P131	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	28.2
PT131H2T1	Portugal	human	infected	P131	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	21.6
PT205D1T0	Portugal	dog	infected	P205	Portugal_dog_infected_pre	pre	healthy	dog_healthy	Portugal_dog_infected	26.4
PT205D1T1	Portugal	dog	infected	P205	Portugal_dog_infected_during	infected	infected	dog_infected	Portugal_dog_infected	17.3
PT205H2T0	Portugal	human	infected	P205	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	34.4
PT205H2T1	Portugal	human	infected	P205	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	24
PT205H4T0	Portugal	human	infected	P205	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	21.5
PT205H4T1	Portugal	human	infected	P205	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	27.1
PT218D1T0	Portugal	dog	infected	P218	Portugal_dog_infected_pre	pre	healthy	dog_healthy	Portugal_dog_infected	31.2
PT218D1T1	Portugal	dog	infected	P218	Portugal_dog_infected_during	infected	infected	dog_infected	Portugal_dog_infected	18.7
PT218H1T0	Portugal	human	infected	P218	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	30.1
PT218H1T1	Portugal	human	infected	P218	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	39.2
PT221D1T0	Portugal	dog	infected	P221	Portugal_dog_infected_pre	pre	healthy	dog_healthy	Portugal_dog_infected	50.7
PT221D1T1	Portugal	dog	infected	P221	Portugal_dog_infected_during	infected	infected	dog_infected	Portugal_dog_infected	61.5
PT221H1T0	Portugal	human	infected	P221	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	31.4
PT221H1T1	Portugal	human	infected	P221	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	31.7
PT221H2T0	Portugal	human	infected	P221	Portugal_human_infected_pre	pre	healthy	human_healthy	Portugal_human_healthy	26.8
PT221H2T1	Portugal	human	infected	P221	Portugal_human_infected_during	infected	infected	human_infected	Portugal_human_infected	28.4
UK002D1T0	UK	dog	healthy	U2	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	37.7
UK002H1T0	UK	human	healthy	U2	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	33.2
UK002H2T0	UK	human	healthy	U2	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	41.5
UK005D1T0	UK	dog	healthy	U5	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	42.8
UK005H1T0	UK	human	healthy	U5	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	46
UK005H2T0	UK	human	healthy	U5	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	39.4
UK008D1T0	UK	dog	healthy	U8	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	25.3
UK008H1T0	UK	human	healthy	U8	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	41.8
UK012D1T0	UK	dog	healthy	U12	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	44.4
UK012H1T0	UK	human	healthy	U12	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	42
UK014D1T0	UK	dog	healthy	U14	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	34.3
UK014H1T0	UK	human	healthy	U14	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	40
UK014H2T0	UK	human	healthy	U14	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	37
UK015D1T0	UK	dog	healthy	U15	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	33.5
UK015H1T0	UK	human	healthy	U15	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	33.5
UK015H2T0	UK	human	healthy	U15	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	39.4
UK018D1T0	UK	dog	healthy	U18	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	26.2
UK018H1T0	UK	human	healthy	U18	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	28.5
UK019D1T0	UK	dog	healthy	U19	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	28.7
UK019H1T0	UK	human	healthy	U19	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	49.8
UK019H2T0	UK	human	healthy	U19	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	47
UK020D1T0	UK	dog	healthy	U20	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	64.6
UK020H1T0	UK	human	healthy	U20	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	22.3
UK026D1T0	UK	dog	healthy	U26	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	23.5
UK026H1T0	UK	human	healthy	U26	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	28.2
UK028D1T0	UK	dog	healthy	U28	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	47
UK028H1T0	UK	human	healthy	U28	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	21.8
UK031D1T0	UK	dog	healthy	U31	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	34.1
UK031H1T0	UK	human	healthy	U31	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	30.5
UK033D1T0	UK	dog	healthy	U33	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	33.5
UK033H1T0	UK	human	healthy	U33	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	32.8
UK034D1T0	UK	dog	healthy	U34	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	32.4
UK034H1T0	UK	human	healthy	U34	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	36.1
UK036D1T0	UK	dog	healthy	U36	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	22.3
UK036H1T0	UK	human	healthy	U36	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	34.7
UK038D2T0	UK	dog	healthy	U38	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	26.4
UK038H1T0	UK	human	healthy	U38	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	29.5
UK044D1T0	UK	dog	healthy	U44	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	29.9
UK044D2T0	UK	dog	healthy	U44	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	30.7
UK044D3T0	UK	dog	healthy	U44	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	27.8
UK044H1T0	UK	human	healthy	U44	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	37.6
UK047D1T0	UK	dog	healthy	U47	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	27.8
UK047H1T0	UK	human	healthy	U47	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	49.2
UK053D1T0	UK	dog	healthy	U53	UK_dog_healthy	healthy	healthy	dog_healthy	UK_dog_healthy	27.5
UK053H1T0	UK	human	healthy	U53	UK_human_healthy	healthy	healthy	human_healthy	UK_human_healthy	43.8
